Year,Month,Total_Sales,Avg_Sales,Order_count,Customer_count,Lag_1,Lag_2,Lag_3,Lag_6,Lag_12,Rolling_3,Rolling_6,Rolling_12,Mom_1,Mom_3,Growth_rate,Quarter,Month_Sin,Month_Cos,Is_Holiday_Month,Is_Quarter_END
2016,11,75249.3995,234.42180529595015,157,145,31011.7375,63133.606,36818.3422,29959.5305,77907.66070000001,43654.5619,35521.80820000001,37976.47699166667,44237.662,38431.0573,142.64812476243873,4,-0.5000000000000004,0.8660254037844384,1,0
2016,12,74543.6012,239.69003601286175,159,139,75249.3995,31011.7375,63133.606,23599.374,68167.0585,56464.91433333334,43070.1197,37754.955225000005,-705.7982999999949,11409.995200000005,-0.9379454250661428,4,-2.4492935982947064e-16,1.0,1,1
2017,1,18542.490999999998,208.34259550561796,48,46,74543.6012,75249.3995,31011.7375,28608.259000000002,18066.9576,60268.246066666674,51560.82423333334,38286.333783333335,-56001.11020000001,-12469.246500000001,-75.1253082739448,1,0.49999999999999994,0.8660254037844387,1,0
2017,2,22978.815,276.8531927710843,45,42,18542.490999999998,74543.6012,75249.3995,36818.3422,11951.411,56111.83056666667,49883.19623333333,38325.961566666665,4436.3240000000005,-52270.5845,23.925178121968624,1,0.8660254037844386,0.5000000000000001,0,0
2017,3,51165.059,317.79539751552795,85,79,22978.815,18542.490999999998,74543.6012,63133.606,32339.3184,38688.3024,47576.60836666666,39244.9119,28186.244000000002,-23378.542200000004,122.66186920430842,1,1.0,6.123233995736766e-17,0,1
2017,4,38679.767,230.23670833333333,88,82,51165.059,22978.815,18542.490999999998,31011.7375,34154.4685,30895.454999999998,45581.85053333334,40813.72361666666,-12485.292000000001,20137.276,-24.401988865096396,2,0.8660254037844387,-0.4999999999999998,0,0
2017,5,56656.908,256.36609954751134,107,96,38679.767,51165.059,22978.815,75249.3995,29959.5305,37607.880333333334,46859.855449999995,41190.831825,17977.141000000003,33678.09300000001,46.4768595943197,2,0.49999999999999994,-0.8660254037844387,0,0
2017,6,39724.486,202.67594897959182,95,89,56656.908,38679.767,51165.059,74543.6012,23599.374,48833.91133333333,43761.10686666667,43415.61328333333,-16932.422000000006,-11440.573000000004,-29.88589140798154,2,1.2246467991473532e-16,-1.0,0,1
2017,7,38320.783,195.51419897959184,95,88,39724.486,56656.908,38679.767,18542.490999999998,28608.259000000002,45020.386999999995,37957.921,44759.37261666667,-1403.702999999994,-358.98399999999674,-3.533596381838633,3,-0.4999999999999997,-0.8660254037844388,0,0
2017,8,30542.2003,174.52685885714286,89,85,38320.783,39724.486,56656.908,22978.815,36818.3422,44900.725666666665,41254.303,45568.74961666667,-7778.582700000003,-26114.707700000003,-20.298600631411947,3,-0.8660254037844384,-0.5000000000000004,0,0
2017,9,69193.3909,198.26186504297993,186,171,30542.2003,38320.783,39724.486,51165.059,63133.606,36195.8231,42514.867216666666,45045.73779166667,38651.1906,29468.9049,126.5501182637454,3,-1.0,-1.8369701987210297e-16,0,1
2017,10,59583.033,310.32829687500004,103,93,69193.3909,30542.2003,38320.783,38679.767,31011.7375,46018.79140000001,45519.589199999995,45550.71986666667,-9610.357899999995,21262.25,-13.889126945504266,4,-0.8660254037844386,0.5000000000000001,0,0
2017,11,79066.4958,216.02867704918035,182,164,59583.033,69193.3909,30542.2003,56656.908,75249.3995,53106.20806666667,49003.46686666666,47931.66115833333,19483.4628,48524.29550000001,32.69968281070888,4,-0.5000000000000004,0.8660254037844384,1,0
2017,12,95739.121,283.2518372781065,172,154,79066.4958,59583.033,69193.3909,39724.486,74543.6012,69280.97323333334,52738.39816666667,48249.75251666667,16672.625199999995,26545.7301,21.086839667428382,4,-2.4492935982947064e-16,1.0,1,1
2018,1,43476.474,304.0312867132867,67,66,95739.121,79066.4958,59583.033,38320.783,18542.490999999998,78129.54993333334,62074.17066666667,50016.04583333334,-52262.647,-16106.559000000001,-54.588601246923915,1,0.49999999999999994,0.8660254037844387,1,0
2018,2,19920.9974,191.5480519230769,52,52,43476.474,95739.121,79066.4958,30542.2003,22978.815,72760.69693333334,62933.45249999999,52093.87774999999,-23555.4766,-59145.498400000004,-54.17982286235999,1,0.8660254037844386,0.5000000000000001,0,0
2018,3,58863.4128,248.36883037974684,117,114,19920.9974,43476.474,95739.121,69193.3909,51165.059,53045.53080000001,61163.25201666667,51839.059616666666,38942.4154,-36875.7082,195.48426526073436,1,1.0,6.123233995736766e-17,0,1
2018,4,35541.9101,177.7095505,115,108,58863.4128,19920.9974,43476.474,59583.033,38679.767,40753.62806666667,59441.58900000001,52480.589100000005,-23321.502699999997,-7934.563900000001,-39.619691741692556,2,0.8660254037844387,-0.4999999999999998,0,0
2018,5,43825.9822,182.60825916666667,116,111,35541.9101,58863.4128,19920.9974,79066.4958,56656.908,38108.77343333334,55434.73518333334,52219.101025,8284.072099999998,23904.9848,23.307897849868226,2,0.49999999999999994,-0.8660254037844387,0,0
2018,6,48190.7277,205.06692638297875,129,115,43825.9822,35541.9101,58863.4128,95739.121,39724.486,46077.10170000001,49561.31625,51149.85720833333,4364.7455000000045,-10672.685099999995,9.959264529615048,2,1.2246467991473532e-16,-1.0,0,1
2018,7,44825.104,201.00943497757848,108,99,48190.7277,43825.9822,35541.9101,43476.474,38320.783,42519.54000000001,41636.58403333334,51855.37735,-3365.6237000000037,9283.193899999998,-6.983965299200086,3,-0.4999999999999997,-0.8660254037844388,0,0
2018,8,62837.848,293.63480373831777,109,102,44825.104,48190.7277,43825.9822,19920.9974,30542.2003,45613.93796666667,41861.3557,52397.40410000001,18012.744,19011.8658,40.1845001854318,3,-0.8660254037844384,-0.5000000000000004,0,0
2018,9,86152.888,190.18297571743932,222,194,62837.848,44825.104,48190.7277,58863.4128,69193.3909,51951.22656666667,49014.16413333333,55088.708074999995,23315.040000000008,37962.1603,37.1034985157353,3,-1.0,-1.8369701987210297e-16,0,1
2018,10,77448.1312,263.42901768707486,144,134,86152.888,62837.848,44825.104,35541.9101,59583.033,64605.280000000006,53562.41,56501.9995,-8704.756800000003,32623.027200000004,-10.103847940651743,4,-0.8660254037844386,0.5000000000000001,0,0
2018,11,117938.155,258.6363048245614,259,215,77448.1312,86152.888,62837.848,43825.9822,79066.4958,75479.62240000001,60546.78018333333,57990.75768333334,40490.023799999995,55100.307,52.28018181024876,4,-0.5000000000000004,0.8660254037844384,1,0
2018,12,83030.3888,180.89409324618737,223,194,117938.155,77448.1312,86152.888,48190.7277,95739.121,93846.39140000001,72898.80898333334,61230.06261666666,-34907.7662,-3122.4992000000057,-29.59836551623179,4,-2.4492935982947064e-16,1.0,1,1
